S. No.,Part No.,Description,USD Price
566,1009400,WIRING ASSY REAR LAM,41.68
567,1009473,VALVE               ,46.51
568,1009474,ISOLATOR            ,4.80
569,1009475,CLIP                ,1.08
570,1009481,CABLE ASY-RADIO ANTE,6.65
571,1009482,CABLE ASY-RADIO ANT ,10.36
572,1009534,STUD                ,0.68
573,1009560,BAR-STABILIZER      ,57.56
574,1009640,KIT - DOOR & STEERIN,6.94
575,1009650,SHROUD-FAN          ,8.59
576,1009651,SHROUD-FAN          ,20.58
577,1009663,TUBE                ,22.95
578,1009675,SPACER-FRONT BUMPER ,5.08
579,1009751,BOLT                ,3.98
580,1009786,TUBE ASY-FUEL FILTER,94.33
581,1009966,screw               ,0.36
582,1010123,MEMBER SIDE FLOOR   ,0.35
583,1010130,PIN - FIXING        ,0.65
584,1010148,HOUSING & LEVER ASY-,77.72
585,1010190,PLUG                ,0.23
586,1010193,BRACKET-X SHAFT     ,3.07
587,1010195,SCREW S TAPN        ,0.22
588,1010224,DEFLECTOR RADIATOR A,3.41
589,1010225,DEFLECTOR RADIATOR A,5.86
590,1010229,BRACKET FILTER      ,1.78
591,1010232,SPEAKER ASSY - LH   ,52.95
592,1010234,RR VIEW MIRROR RH   ,28.33
593,1010236,NUT - HEX.          ,0.49
594,1010242,RR VIEW MIRROR LH   ,31.27
595,1010249,KNUCKLE-F/WHEEL     ,130.96
596,1010250,KNUCKLE-F/WHEEL     ,173.02
597,1010251,KNUCKLE-F/WHEEL     ,102.34
598,1010252,KNUCKLE-F/WHEEL     ,179.69
599,1010346,CABLE & EQUAL ASY PA,24.02
600,1010358,BRACKET-MFLR SUPPORT,5.01
601,1010360,BRACKET-MFLR SUPPORT,3.65
602,1010361,BRACKET-MFLR SUPPORT,3.50
603,1010362,FXD RATIO SRTG GEAR-,61.40
604,1010461,HOSE ASY PAS PRESSUR,23.53
605,1010463,HOSE ASY PAS PRESSUR,17.39
606,1010470,STIFFNER            ,14.36
607,1010484,PILLAR FRONT BODY IN,4.82
608,1010485,PILLAR FRONT BODY IN,4.82
609,1010502,FRT. BRK PAD        ,82.29
610,1010528,PAD FRT FLRCTR RR R ,11.63
611,1010530,INSULATOR ASSY      ,34.31
612,1010532,BOLT - HEX.HEAD     ,1.60
613,1010534,STUD                ,2.43
614,1010559,STIFFENER           ,3.84
615,1010561,LOCKSET             ,35.22
616,1010568,LOCKSET             ,68.51
617,1010569,BOLT - HEX.HEAD     ,2.19
618,1010586,BOLT - HEX.HEAD     ,9.31
619,1010588,BOLT - HEX.HEAD     ,0.92
620,1010590,SCREW&WASHER        ,2.23
621,1010667,SPCR-PLAS 52X16.1X22,0.40
622,1010691,RET TRANS INPUT SHAF,11.41
623,1010695,HOSE HEATERINLET RR ,9.02
624,1010858,CLIP                ,1.20
625,1010896,VANTILATOR ASSY CENT,10.99
626,1010898,VANTILATOR ASSY     ,11.74
627,1010900,VENTILATOR ASSY D SI,7.98
628,1010902,SWITCH ASLY         ,24.96
629,1010903,TRANSAXLE ASSY- PETR,1605.35
630,1010908,TRANSAXLE ASY 5-SPEE,1960.89
631,1010910,TRANSAXLE ASY 5-SPEE,1091.04
632,1010912,TRANSAXLE ASSY      ,2073.12
633,1010915,COVER               ,2.36
634,1010947,CLIP                ,0.17
635,1010949,GEAR-TRANS 2ND SPEED,7.89
636,1010950,GEAR-TRANS 2ND SPEED,7.15
637,1010952,CASE ASY TRANSAXLE-P,74.94
638,1010958,GEAR&SFT 1.8        ,18.63
639,1010967,BOLT & WASHER ASSY  ,0.76
640,1011011,GASKET-EXH MANF TO E,3.50
641,1011021,NUT-Expansion       ,0.31
642,1011079,LVR & EXT ASY-TRANS ,7.42
643,1011081,BAR-TRANS GR SH STAB,27.59
644,1011082,ROD & CLEVIS ASY-TRA,24.30
645,1011083,REINFORCEMENT       ,5.48
646,1011146,NUT - EXPANSION     ,0.62
647,1011200,HEATER ASSY         ,31.53
648,1011248,BRKT ASY- CATALYST S,37.68
649,1011291,BOOSTER ASLY        ,135.00
650,1011295,FORK TRANS ASY 5TH S,40.18
651,1011298,TUBE VACCUM         ,9.77
652,1011301,TUBE ASY BRAKE BOOST,8.57
653,1011305,SCREW & WASHER      ,0.30
654,1011308,TUBE ASY-BRAKE BOOST,10.42
655,1011323,HOSE-P/S RESERVOIR T,20.96
656,1011326,NUT-HEX.-FLANGD     ,0.55
657,1011338,bezel - inst cluster,53.47
658,1011345,CLIP                ,0.18
659,1011360,master cyldasly     ,121.95
660,1011361,HOOK ASSY TOWING SXi,3.75
661,1011385,BAR-FRT BUMPER      ,137.82
662,1011449,WIRE-FUEL SENDR     ,7.94
663,1011489,NUT & WASHER        ,0.43
664,1011525,SPRING-STNGCOL UPR  ,2.25
665,1011550,WIRE                ,27.42
666,1011576,CLIP WIRING         ,0.36
667,1011578,CLIP AT WHEEL HOUSE ,0.30
668,1011581,WIRE ASY-AIR CONDIT.,17.24
669,1011627,BOLT - HEX.HEAD     ,1.24
670,1011647,PIN                 ,0.59
671,1011665,BOOT                ,9.50
672,1011670,RADIATOR-HEATER     ,22.88
673,1011687,SCREW PAN HEAD      ,0.51
674,1011727,GRILLE              ,3.24
675,1011728,MIRROR ASSYRV OUTER ,37.93
676,1011730,COVER               ,5.66
677,1011733,MIRROR ASSYRV OUTER ,37.93
678,1011764,glass rr window     ,231.98
679,1011765,GLASS BACK WINDOW   ,66.75
680,1011783,MEMBER ASSYREAR AXL ,20.58
681,1011788,RING INNER BRG OUTPU,4.96
682,1011809,SHIELD ENGINE SPLASH,10.12
683,1011813,CLAMP HEATER HOSE   ,1.38
684,1011816,INSUL DASH PNL SND O,22.28
685,1011857,END-SPINDLEROD      ,18.71
686,1011858,SOCKET ASSY         ,37.17
687,1011864,HOSE PUMP STRG      ,123.64
688,1011865,INSULATOR ASSY      ,4.00
689,1011866,PLUG-SWTCH HOLE     ,1.04
690,1011870,switch-heated rear w,25.19
691,1011915,COVER-SEAT          ,75.52
692,1011972,GEAR-TRANS 1ST SPEED,9.00
693,1011973,GEAR MSHAFT         ,16.01
694,1012013,BRKT-EGR VAC REGULAT,15.85
695,1012111,BRACKET             ,12.80
696,1012164,RADIATOR GRILL      ,13.49
697,1012172,horn asly           ,4.93
698,1012191,1.8 DIESEL BLOCK AND,334.03
699,1012200,CLIP - HOSE         ,1.50
700,1012206,BOLT HEX HEAD       ,0.23
701,1012255,BOLT-HEX HEAD       ,0.25
702,1012273,strut               ,15.47
703,1012313,BRACKET             ,3.46
704,1012324,CANISTER & CAP ASY -,34.09
705,1012355,SHOCK ABSORBER ASSY ,50.27
706,1012413,BRACKET             ,18.51
707,1012452,SCREW-PAN HEAD      ,1.00
708,1012611,TUBE ASSY FUEL      ,19.50
709,1012631,BOLT                ,0.91
710,1012633,PULLEY WATER PUMP   ,5.22
711,1012640,GASKET-CYL.HEAD     ,31.59
712,1012642,BOLT - HEX.HEAD     ,0.56
713,1012714,CLAMP - HOSE        ,0.68
714,1012716,PLATE FRONTBUMPER   ,12.30
715,1012719,PLATE BLANKING      ,19.76
716,1012722,FINISHER            ,4.18
717,1012766,HOSE CRANKCASE VENTI,2.14
718,1012767,IDLE ADVANCE        ,44.10
719,1012770,BRACKET             ,3.12
720,1012773,VALVE INTAKE STD    ,18.49
721,1012775,COVER CAMSHAFT DSL1.,45.24
722,1012780,MEMBER-FLR SIDE     ,5.70
723,1012781,MEMBER-FLR SIDE     ,5.09
724,1012814,BOOT                ,10.66
725,1012815,GEAR CRANKSHAFT     ,160.04
726,1012816,VALVE EXH GAS 1.8 DS,213.12
727,1012827,MAT ANTI SLIP       ,61.75
728,1012879,FLYWHEEL ASY        ,66.18
729,1012888,RETAINER-WIRING     ,0.03
730,1012889,VALVE & TUBE ASY-FUE,26.61
731,1012890,VALVE ASY-FL VAPOR P,29.23
732,1012893,INSULATOR ASY - ENGI,48.33
733,1012911,RUBBER-ANTIRATTLE R ,1.15
734,1012914,RUBBER-ANTIRATTLE L ,1.15
735,1012928,MEMBER BODYFRONT CR ,26.13
736,1012952,PANEL ASSY AIR CHECK,3.18
737,1012953,EXTENSION           ,122.51
738,1013105,GRILLE              ,12.58
739,1013145,SENSOR ASSLY        ,53.88
740,1013156,SPEAKER ASSY        ,25.62
741,1013171,COVER - FUSE BOX.   ,6.20
742,1013244,PANEL ASSY COWL TOP ,159.14
743,1013305,HANDLE ASSY DR      ,17.29
744,1013306,HOSE ASSY-PWR STNG R,7.77
745,1013455,HOSE ASSY BRAKE     ,11.76
746,1013501,PARTITION LOADING   ,0.29
747,1013581,FRT BRK DISC        ,11.81
748,1013682,SHAFT + TRIPODE ASY ,150.78
749,1013683,SHAFT +TRIPODE ASY F,71.06
750,1013685,HANDLE - DOOR INNER ,238.42
751,1013710,BULB SIDE FLASHER   ,2.24
752,1013711,BULB                ,5.16
753,1013734,RETAINER ASY TR. INT,10.92
754,1013748,CAP                 ,21.99
755,1013751,COVER-PROTECTNG     ,20.83
756,1013770,BRKT ALT SURP       ,30.06
757,1013771,BRKT-ALT & COMP MTNG,99.51
758,1013781,KIT CALIPERBRAKE PA ,594.38
759,1013794,Mounting assy       ,5.43
760,1013798,SPRING TRANS SYNCHRO,3.53
761,1013799,SEAL-OIL            ,2.45
762,1013800,SEAL-OIL            ,3.05
763,1013818,BULB                ,4.92
764,1013823,WEATHERSTRIP RR DR G,16.87
765,1013825,WTHERSTRIP RR DR GLS,9.30
766,1013839,BRACKET             ,6.82
767,1013841,BRACKET             ,3.95
768,1013857,HANDLE - DOOR INNER ,10.82
769,1013862,HANDLE - DOOR INNER ,17.95
770,1013863,HANDLE - DOOR INNER ,10.82
771,1013865,HANDLE              ,15.90
772,1013870,CABLE ASSY CONTROL  ,14.53
773,1013876,CABLE ASSY-CONTROL  ,16.80
774,1013879,CABLE ASSY CONTROL  ,8.15
775,1013920,CABLE ASSY L.C.D. LA,18.02
776,1013936,CABLE ASSY HOOD LATC,7.72
777,1013938,PLUG-OIL DRAIN      ,0.64
778,1013940,CABLE ASSY HOOD     ,7.72
779,1013948,COOLER ASSY-PWR STNG,78.48
780,1013959,SPRING LUGGAGE COMPT,15.31
781,1013961,COVER ASY-WHEEL     ,7.58
782,1013980,BRACKET             ,11.33
783,1013996,CONSOLE ASSY        ,37.24
784,1014004,CONSOLE ASSY        ,47.21
785,1014089,WEATHERSTRIP-B/SIDE ,37.81
786,1014091,WEATHERSTRIP-B/SIDE ,20.64
787,1014109,SHAFT+JOINTASY-FRT  ,177.55
788,1014111,SHAFT+JOINTASY-FRT  ,156.46
789,1014113,COVER-L.C.D. RELEASE,2.32
790,1014124,HOOD TOP ASSY       ,79.44
791,1014130,KIT-STRG WHEEL      ,881.96
792,1014143,SWITCH-IGNITION     ,12.60
793,1014169,SHAFT FRT AXLE RH DI,177.70
794,1014237,WHEEL ASSEMBLY-STEER,83.11
795,1014265,CLAMP HEATER HOSE   ,0.69
796,1014274,SHIELD-REARDOOR TRI ,8.22
797,1014279,SHIELD-REARDOOR TRI ,5.39
798,1014318,COVER-BATT.TERM     ,0.44
799,1014461,PLATE-ENGINE REAR CO,5.35
800,1014538,pipe exe front      ,386.34
801,1014588,FILLER FRONT FENDER ,30.31
802,1014655,KIT BRAKE SHOE      ,74.03
803,1014735,LEVER ASY TRANS REV ,6.91
804,1014738,O RING            ,0.30
805,1014831,BUSH                ,2.27
806,1014833,PLUG - BLANKING     ,0.40
807,1014846,CLIP                ,1.95
808,1014899,INSULATOR ASSY      ,15.90
809,1014932,SUPPORT-LUMBAR      ,3.19
810,1014936,SUPPORT-LUMBAR      ,1.20
811,1014955,CLIP                ,0.36
812,1014977,ANTI-THEFT BAR      ,63.43
813,1015290,SCREW               ,0.27
814,1015296,HOSE                ,11.97
815,1015298,GROMMET             ,3.16
816,1015308,SPRING-RETAING      ,2.19
817,1015374,LAMP ASSY-REAR      ,82.55
818,1015379,TUBE ASSY           ,170.58
819,1015392,switch control      ,3.63
820,1015421,GASKET-COVER        ,2.30
821,1015485,MOTOR + WHEEL ASY HT,38.30
822,1015486,MOTOR & FANASSY- BL ,98.97
823,1015498,SUPPORT ASY-RADIATOR,11.01
824,1015546,KIT STEERING GEAR-RH,57.73
825,1015547,KIT STEERING GEAR LH,54.46
826,1015589,DEFLECTOR HOOD AIR  ,8.09
827,1015591,PIN - FIXING        ,8.32
828,1015594,INSUL DASH PNL SND O,30.32
829,1015595,INSUL HOOD PNL SND  ,22.34
830,1015598,KIT-BRAKE PAD       ,74.31
831,1015620,KIT-FOG LAMP        ,249.41
832,1015646,CONNECTOR ASY A/C IN,98.69
833,1015735,PLUG-DOOR ARMREST   ,0.46
834,1015736,PLUG-DOOR ARMREST   ,0.25
835,1015737,PLUG-DOOR ARMREST   ,0.46
836,1015759,SHIELD EXHAUST PIPE ,10.18
837,1015784,RECEPTACLE & RET. AS,29.74
838,1015830,CLIP                ,0.33
839,1015881,BUMPER              ,0.17
840,1015989,TUBE ASLY           ,59.20
841,1016036,DUCT-AIR 1.8        ,4.39
842,1016052,HOSE-AIR            ,25.42
843,1016059,BRACKET             ,1.20
844,1016086,RESONATOR ASSY      ,10.78
845,1016108,Tube assy           ,120.41
846,1016141,SHIELD EXHAUST PIPE ,29.15
847,1016150,KIT ENGINE GASKET   ,77.90
848,1016152,GASKET OIL PAN 1.3 W,10.78
849,1016285,BRACKET             ,1.87
850,1016301,HAND WHEEL          ,3.16
851,1016375,PANEL-COWL TOP      ,35.17
852,1016377,COVER - STEERING WHE,9.57
853,1016405,INSULATOR MUFFLER SU,11.08
854,1016439,BUSH                ,24.99
855,1016448,HRN & BRKT ASY-HIGH ,12.12
856,1016544,BEZEL - DOOR LH     ,4.18
857,1016549,BEZEL DOOR          ,9.10
858,1016553,PULLEY-ASY POWER STE,41.38
859,1016560,REINFORCEMENT       ,23.11
860,1016561,REINFORCEMENT-      ,13.11
861,1016565,SWITCH-VACUUM AC    ,25.15
862,1016568,nut spring          ,0.47
863,1016651,PEDAL - BRAKE       ,5.96
864,1016664,GASKET              ,5.34
865,1016748,PEDAL - ACCEL.      ,4.53
866,1016756,KIT BOOT            ,18.03
867,1016757,KIT BOOT            ,13.71
868,1016760,KIT BOOT            ,12.73
869,1016821,BUSHING-TRANS GEAR S,4.24
870,1016822,BOOT-TRNS INPUT SHIF,5.53
871,1016899,SHAFT               ,3.95
872,1016938,HOSE-RADIATOR       ,47.77
873,1016943,WHEEL ASSY          ,38.66
874,1016956,SHOCK ABSORBER      ,39.15
875,1016959,SHOCK ABSORBER      ,22.69
876,1016961,SHOCK ABSORBER      ,50.96
877,1016962,SHOCK ABSORBER      ,72.50
878,1016966,GEAR & LINKAGE ASY-S,369.77
879,1016969,STEERING GEAR ASLY-P,92.08
880,1017022,bracket             ,7.32
881,1017032,BACK LITE TINTED NON,93.24
882,1017113,LAMP ASSLY          ,26.83
883,1017171,WIRE-JUMPER         ,28.10
884,1017201,BRACE               ,2.45
885,1017592,V BELT              ,15.86
886,1017593,V BELT 1.8          ,7.12
887,1017668,DRUM-BRAKE          ,42.12
888,1017990,HANDLE ASSYOUTER    ,1.42
889,1018005,DIFFERENTIAL (PETROL,108.57
890,1018016,DEGAS BOTTLE        ,8.11
891,1018018,CONTAINER           ,6.72
892,1018087,ENGINE ASSY1.3L CFI ,1149.51
893,1018089,CYLINDER ASSY 1.3   ,779.14
894,1018096,BLOCK ASY CYLINDER 1,273.89
895,1018103,CAP OIL FILTER      ,12.69
896,1018106,HOSE CRANKCASE VENTI,4.62
897,1018139,coil ignition       ,61.38
898,1018140,COIL AND BRACKET ASY,32.00
899,1018171,RIVET - BLIND       ,0.49
900,1018194,INSUL & CARPET ASY F,121.98
901,1018208,BRACKET PUMP        ,64.63
902,1018209,PULLEY              ,16.25
903,1018219,BOLT HEX HEADM8x95MM,0.38
904,1018246,REINF FRONTBODY PLR ,5.33
905,1018248,REINF FRONTBODY PLR ,5.03
906,1018307,CAP - WIPERARM      ,1.95
907,1018336,CLIP                ,1.35
908,1018337,PIPE CLIP           ,1.58
909,1018338,CLIP                ,1.35
910,1018339,CLIP                ,0.90
911,1018340,CLIP                ,0.57
912,1018347,CLIP-TRIM           ,0.77
913,1018350,BULKHEAD ASSY - FRON,111.85
914,1018353,PANEL ASSY DASH     ,7.90
915,1018360,MEMBER & APRON ASSY ,104.97
916,1018361,MEMBER & APRON ASSY ,78.98
917,1018372,WRNG ASSY DR FEED   ,45.05
918,1018390,RETAINER-TRIM       ,0.42
919,1018410,ALT TO BATTERY      ,20.10
920,1018412,STUD                ,11.76
921,1018420,SCREW&WASHER        ,1.51
922,1018422,LOCK JUMP FRT       ,9.36
923,1018426,LOCK JUMP REAR      ,8.42
924,1018427,LOCK JUMP FRT & RR  ,4.24
925,1018492,EMBLEM-FRONT GRILLE ,9.91
926,1018498,HANDLE ASSYDOOR O/S ,1.42
927,1018513,HOSE ASY-POWER STEER,51.64
928,1018514,PANEL BACK TRIM LOWE,29.83
929,1018515,WEATHER STRIPS      ,54.49
930,1018516,WEATHERSTRIP ASY FRT,50.69
931,1018518,W/STRIP ASSY DOOR OP,49.29
932,1018532,SEAL ASY - STEERING ,7.49
933,1018533,SEAL ASSY-STNG COL O,6.98
934,1018536,NUT - HEX.          ,0.72
935,1018561,HEAD ASSY -CYLINDER ,659.25
936,1018570,PIN 15X12.7ROLLED D ,0.66
937,1018572,TAPPET VALVE 0.5 O/S,8.58
938,1018607,RING-RETAINING      ,0.36
939,1018617,KNOB MIRRORCONTROL  ,4.84
940,1018674,GASKET WATER PUMP1.8,7.62
941,1018683,SHAFT-TRANS5TH SPEE ,5.79
942,1018719,SPEAKER ASSY        ,33.36
943,1018756,TRIM-B-UPPER        ,22.68
944,1018908,MUFFLER ASLY-FRT DSL,143.90
945,1018916,HOSE & CLAMP ASSY - ,22.82
946,1018917,HOSE & CLAMP ASSY - ,29.16
947,1018956,DEFLECTOR RADIATOR L,8.46
948,1018960,BOLT CONROD         ,0.56
949,1018962,DEFLECTOR RADIATOR L,8.07
950,1018994,TUBE BREATHER       ,5.64
951,1018996,HOSE & CLAMP ASSY LO,4.79
952,1019009,KIT FOG LAMP        ,238.45
953,1019041,RESERVOIR &CAP ASY- ,26.30
954,1019301,BRKT ALTERNATOR     ,45.32
955,1019323,PULLEY              ,42.56
956,1019326,BOLT - HEX.HEAD     ,5.53
957,1019371,BOLT                ,0.30
958,1019377,NUT HEX             ,0.29
959,1019387,PAN ASSEMBLY - OIL  ,125.60
960,1019561,KIT - RR WHEEL BRG  ,25.08
961,1019605,GASKET              ,8.62
962,1019670,CLIP ROCKERPNL      ,0.23
963,1019707,CAP                 ,2.58
964,1019734,BRACKET - UPPER     ,1.42
965,1019743,PULLEY CRANKSHAFT   ,22.85
966,1019770,TRAY ASY UTILITY    ,23.49
967,1019889,BELT-ACCESSORY DRIVE,12.58
968,1020127,COVER SWITCH OPENING,4.49
969,1020129,GASKET              ,1.05
970,1020136,hose asy  ikon      ,13.16
971,1020144,SUPPORT-RADIO       ,63.80
972,1020157,SLEEVE GUIDE        ,0.43
973,1020172,INSULATOR           ,3.22
974,1020191,CLIP - CABLE        ,0.85
975,1020193,CLIP                ,0.40
976,1020213,CLIP                ,1.55
977,1020243,FRT STRUT -RH/LH    ,59.32
978,1020338,TRAY-UITLITY        ,19.10
979,1020432,RING-TRANS OUTER SYN,28.19
980,1020433,RING-TRANS SYN BLK 4,13.11
981,1020437,GEAR-TRANS 4TH SPEED,56.52
982,1020455,GEAR 5TH SPEED MAINS,70.54
983,1020468,STRAP-WIRING        ,0.34
984,1020508,STARTER MOTOR       ,141.76
985,1020532,PIPE ASSY           ,561.06
986,1020554,TUBE OIL LEVEL IND 1,1.35
987,1020563,HEX HEAD BOLT       ,0.42
988,1020567,kit water pump 1.3 I,59.46
989,1020641,PARKING BRAKE LEVER.,28.45
990,1020655,PLATE - LOCKING     ,2.51
991,1020659,BOLT.               ,0.77
992,1020682,CAP FOR 5X2SPOKE WH ,14.44
993,1020734,FUEL FILTER1.3 HCS  ,13.94
994,1020815,COVER CAMSHAFT      ,34.91
995,1020825,FUEL INJECTOR ASY   ,62.70
996,1020837,WIRE ASSY GLOW PLUG ,10.72
997,1020880,PANEL ASY-BODYSIDE  ,11.25
998,1020888,FILLER FRONT FENDER ,31.51
999,1020897,FLYWHEEL ASSY       ,58.46
1000,1020922,CLAMP-HOSE          ,1.58
1001,1020941,BOLT-FLANGDHEX      ,1.05
1002,1020943,CONDENSOR ASSY      ,395.30
1003,1020988,KIT WATER PUMP DSL 1,104.45
1004,1021043,KIT - FUEL FILLER LO,13.61
1005,1021063,ROD ASY-HOOD SUPT   ,32.54
1006,1021123,GASKET              ,2.17
1007,1021147,HOSE ASY - DISTRIBUT,13.89
1008,1021202,BATTERY ASSY 550A/10,53.97
1009,1021204,BATT ASY-IK(D)+ESC(P,130.71
1010,1021205,CABLE ASSY BATTERY T,38.40
1011,1021206,CABLE ASSY BATTERY T,17.82
1012,1021232,PANEL REAR FLOOR    ,17.54
1013,1021274,CLIP                ,0.36
1014,1021283,PUMP ASY-FI1.8NALUC ,128.99
1015,1021315,CYLINDER HEAD       ,1017.70
1016,1021329,RELAY               ,14.32
1017,1021339,RELAY ASY+BRKT-ENG C,53.81
1018,1021341,RELAY               ,13.62
1019,1021342,RELAY               ,31.12
1020,1021347,RELAY               ,10.25
1021,1021348,relay ignition 1.8  ,24.26
1022,1021350,clamp - tube        ,75.18
1023,1021362,RESERVOIR&COVER     ,7.51
1024,1021377,KIT - CLUTCH REPAIR ,203.10
1025,1021391,CLIP                ,5.03
1026,1021423,BRACKET             ,1.28
1027,1021430,PANEL ASY INSTRUMENT,225.42
1028,1021514,COOLANT TANK        ,32.65
1029,1021576,BATTERY ASSY DSL    ,9.60
1030,1021631,eec module - petrol ,456.73
1031,1021638,CATALYTIC CONVERTOR ,245.82
1032,1021639,MUFFLER ASLY-RR DSL ,172.07
1033,1021640,DOWN PIPE           ,0.03
1034,1021705,REGULATOR-FUEL      ,57.57
1035,1021706,AUTOTENSIONER - CAM ,43.75
1036,1021712,COVER - TIMING BELT ,11.59
1037,1021713,COVER TIMING BELT-SI,8.93
1038,1021715,GROMMET-CVRTIMING B ,1.86
1039,1021795,SW ASY-BK/UP LP N DE,30.78
1040,1021815,panel-qtr outer     ,148.51
1041,1021824,WIRING MAIN         ,115.58
1042,1021919,BRKT & RELAY COOLING,8.19
1043,1021947,EEC-1.3 ESCORT      ,276.52
1044,1021948,CONNECTION-TUBE     ,90.19
1045,1021950,BRACKET FRONT SEAT M,4.88
1046,1021957,HOSE FUEL VAPOUR    ,6.03
1047,1022008,GLASS-W/SCREEN      ,86.18
1048,1022109,BOLT - HEX.HEAD     ,0.35
1049,1022120,COVER               ,61.32
1050,1022122,KIT ENGINE OVERHAUL ,195.33
1051,1022123,KIT ENGN GASKET 1.8 ,84.89
1052,1022148,PLATE-CYL           ,9.19
1053,1022150,FILTER ASY FUEL 1.3 ,1.98
1054,1022159,DEFLECTOR           ,6.16
1055,1022183,LOCK CYL & KEY STRG ,3.41
1056,1022184,LOCK - STRG & IGN   ,25.82
1057,1022252,HANDLE-DOOR         ,1.42
1058,1022253,HANDLE-DOOR         ,1.42
1059,1022309,LOCKSET             ,35.28
1060,1022315,LOCK SET            ,61.21
1061,1022354,GEAR CAMSHAFT       ,9.62
1062,1022367,KIT LOCK CYL REPAIR ,10.30
1063,1022369,KIT LOCK CYL REPAIR ,11.22
1064,1022382,KIT REPAIR          ,12.20
1065,1022396,CLIP-TRIM           ,1.17
1066,1022415,pad anti-rattle     ,0.25
1067,1022473,BLADE-WIPER-RH      ,5.46
1068,1022474,BLADE-WIPER-LH      ,5.01
1069,1022541,CAP ASSY-OIL FILTER ,3.62
1070,1022542,COVER CAMSHAFT      ,44.09
1071,1022636,KIT-L/CYL.REP.      ,19.73
1072,1022638,KIT LOCK CYL /REP LH,13.20
1073,1022762,PANEL COWL SIDE TRIM,4.26
1074,1022763,PANEL SIDE TRIM     ,17.12
1075,1022765,WASHER-WAVE         ,0.43
1076,1022778,GRILLE              ,2.76
1077,1022926,CLIP                ,0.33
1078,1022930,FLYWHEEL ASY 1.3    ,60.82
1079,1023196,FRAME ASSY          ,39.33
1080,1023289,SCREW&WASHER        ,3.07
1081,1023296,FASTENER            ,0.69
1082,1023301,CLIP                ,0.33
1083,1023326,BOOT                ,13.42
1084,1023587,PAD - RUBBER        ,5.43
1085,1023645,KIT- WTR PUMP-DSL   ,123.38
1086,1023654,GLASS BACKLITE      ,321.88
1087,1023666,STIFNER-ENGINE FRT M,5.39
1088,1023703,BOLT HEX HEAD       ,0.99
1089,1023925,EXT REAR FLOOR PANEL,121.19
1090,1024047,BULKHEAD FRONT      ,213.72
1091,1024092,NUT - HEX.          ,0.30
1092,1024093,CABLE-CONTROL       ,24.79
1093,1024130,ROD & BALL JT ASY-ST,22.81
1094,1024141,SPRING-FRONT - PETRO,18.77
1095,1024142,SPRING-FRONT - DIESE,18.77
1096,1024263,WIRING MAIN         ,0.01
1097,1024330,CLIP                ,0.31
1098,1024339,STUD                ,0.57
1099,1024355,BOLT CYLD HEAD      ,2.75
1100,1024356,SHFT & CV JT.       ,154.00
1101,1024371,SHFT & CV JT.       ,57.12
1102,1024399,W704378SI309        ,16.57
1103,1024429,DUCT-RAM AIR        ,98.69
1104,1024449,CLIP                ,1.20
1105,1024554,SCREW-C/SUNK        ,0.30
1106,1024618,WIRING ASLYA/C      ,78.58
1107,1024629,KIT STRG WHEEL      ,269.75
1108,1024694,WIRE JUMPER         ,21.33
1109,1024698,WRG ASLY -DR FRT    ,43.73
1110,1024752,RETAINER            ,0.82
1111,1024788,PLUG-SWITCHHOLE BLA ,4.09
1112,1024864,ALTERNATOR ASSY     ,285.88
1113,1025080,SHAFT-TRANSOUTPUT ( ,30.02
1114,1025081,GEAR RR AX DRIVEN ( ,20.58
1115,1025086,INSULATOR ASY-ENG FR,54.80
1116,1025192,BRACKET             ,3.06
1117,1025233,INSULATOR MUFFLER   ,1.52
1118,1025236,BRACKET             ,11.69
1119,1025269,RETAINER - BOOT     ,8.92
1120,1025451,MEMBER BODYFRONT CR ,14.82
1121,1025472,BUCKLE SB           ,8.23
1122,1025486,SPRING TRANS SYNCHRO,0.74
1123,1025515,button              ,5.52
1124,1025523,BEZEL               ,2.34
1125,1025527,BEZEL               ,1.91
1126,1025545,ALTERNATOR ASSY-70A ,185.20
1127,1025582,SCREW & WASHER ASSY ,0.23
1128,1025772,TUBE ASY-BRAKE BOOST,80.50
1129,1025794,HANDLE-DOOR         ,6.30
1130,1025795,HANDLE-DOOR         ,6.50
1131,1025859,CHILD SEAT KIT(0-10 ,37.24
1132,1025916,WRNG ASSY REAR      ,40.06
1133,1025917,WIRING ASSYREAR     ,41.13
1134,1025918,WIRING INSTCLUSTER  ,103.04
1135,1025919,ALT TO BATTERY      ,50.56
1136,1025923,WRG ASSY ENG CMP+DSL,221.96
1137,1025924,WRG ASSY ENG CMP+PET,260.20
1138,1025925,RADIO SPEAKER FRT & ,6.67
1139,1025972,TIMING CASECVR LWR  ,7.62
1140,1025976,SHIELD OIL PAN (DIES,34.00
1141,1026028,BUSHING-A/CDMPR DR  ,10.86
1142,1026090,TUBE-OIL LEVEL      ,26.80
1143,1026260,Shft Frt axle RH 1.3,113.73
1144,1026262,shft frt axle LH 1.3,64.71
1145,1026285,OIL FILTER-PETROL   ,4.24
1146,1026445,TRIM - PACKAGE SIDE ,5.78
1147,1026446,TRIM - PACKAGE SIDE ,4.31
1148,1026539,CYLINDER ASSY-CLT SL,84.86
1149,1026543,BRACKET-TRANS CONTRO,13.75
1150,1026579,SYN ASY-TRANS 3RD&4T,64.41
1151,1026612,PANEL FRONTDOOR OUT ,47.78
