S. No.,Part No.,Description,USD Price,,
9484,6R0129684C,HOSE,52.36,,
9485,7L0412137,BOOT,52.37,,
9486,6R0805915B9B9,RETAINER,52.37,,
9487,033103383M,"GASKET, CYLINDER HEAD",52.42,,
9488,027133357A,"INTAKE HOSE, AIR FILTER",52.42,,
9489,1K0122058T,HOSE,52.42,,
9490,3C08072859B9,LICENCE PLATE HOLDER,52.44,,
9491,5NA9597699B9,SWITCH,52.45,,
9492,5J5823509A,LATCH HOOD RAPID,52.45,,
9493,6RG807421DGRU,COVER REAR NEW POLO SENSER,52.45,,
9494,1U0853661A739,MOLDING,52.47,,
9495,3C2819701E1QB,AIR VENT,52.48,,
9496,1Z0941701C,FOG LAMP,52.50,,
9497,5J0941702B,FOG LAMP OLD FABIA RH,52.50,,
9498,3Q0959354,PRESSSENS,52.53,,
9499,5NA837120A9B9,GASKET,52.53,,
9500,1K5805977B,JETTA WHEEL HOUSING JETTA,52.55,,
9501,5K0825921,RETAINER,52.56,,
9502,5K0825922B,RETAINER,52.56,,
9503,7590576,MIDDLE SILENCER,52.58,,
9504,007590660B,END SILENCER,52.58,,
9505,3G0853334A3Q7,MOLDING,52.58,,
9506,1K0423811E,TIEROD END,52.59,,
9507,1K0423812E,TIEROD END,52.59,,
9508,036109243AB,"TENSION SPRING, TENSIONER PULLEY (TIMING BELT)",52.59,,
9509,036109243AC,"TENSION SPRING, TENSIONER PULLEY (TIMING BELT)",52.59,,
9510,3G0075101B,MUD FLAP,52.61,,
9511,031103383M,"GASKET, CYLINDER HEAD",52.65,,
9512,1K2941824,HOLDER,52.65,,
9513,6RF858559A5BW,COVER FOR STEERING COLUMN,52.65,,
9514,6RF867211GDDW,DOOR PANEL TRIM (PLASTIC),52.65,,
9515,6R0853665G9B9,VENT GRILLE,52.72,,
9516,6R0853666G9B9,VENT GRILLE,52.72,,
9517,6RF867212GDDW,DOOR PANEL TRIM (PLASTIC),52.72,,
9518,5Q0951223,HORN,52.75,,
9519,031103383N,"GASKET, CYLINDER HEAD",52.75,,
9520,6RF885805LWMT,BACKREST COVER (FABRIC),52.75,,
9521,5C6823302,HINGE,52.78,,
9522,059121064C,PIPE,52.84,,
9523,6RF881406FWLW,SEAT COVER,52.87,,
9524,6R6827550A,GASFILSTRU,52.89,,
9525,6R0905865,SWITCH,52.90,,
9526,1K0955453S,JETTA WATER RES,52.92,,
9527,034198491D,"MAIN BEARINGS, CRANKSHAFT",52.93,,
9528,03L906051,PRESSSENS,52.95,,
9529,5C6839699C,DOOR SEAL,52.96,,
9530,5C6839700C,DOOR SEAL,52.96,,
9531,03L131055R,HOSE,52.96,,
9532,6RG807421BGRU,COVER OLD POLO W/O SENSER,52.96,,
9533,3C0839901B03C,TRIM,52.99,,
9534,3T0809958B,WHEEEL HOUS,53.01,,
9535,036103383AN,"GASKET, CYLINDER HEAD",53.04,,
9536,028903308C,"TENSIONER LEVER, V-RIBBED BELT",53.04,,
9537,6C0853600FOD,VW SIGN,53.04,,
9538,021145933C,V-RIBBED BELTS,53.09,,
9539,7H0819631A,DUST FILT.,53.10,,
9540,06L905110F,IGNIT.COIL,53.10,,
9541,03L906054A,PRESSSENS,53.10,,
9542,026109243L,"TENSIONER PULLEY, TIMING BELT",53.10,,
9543,6U0411105D,COIL SPRING,53.12,,
9544,6R0858560C82V,STEERING COLUMN TRIM,53.13,,
9545,6RU857607CEH6,HANDLE,53.13,,
9546,5N0839016F,DOOR LOCK,53.13,,
9547,3AF943021A,LIC PL LIG,53.15,,
9548,3C0953041L,TURNSIGNAL,53.18,,
9549,3C0953042L,TURNSIGNAL,53.18,,
9550,032141034A,CLUTCH DISC,53.20,,
9551,6RF867174C95T,ARMREST (LOWER PART),53.20,,
9552,6R0121070J,COOLANT PIPE,53.20,,
9553,03P103669E,COVER,53.20,,
9554,6RV071CTVIND,PREMIUM TEXTILE MAT - VENTO,53.23,,
9555,6RU827301A,"LID HINGE, LEFT",53.24,,
9556,6RU827302A,"LID HINGE, RIGHT",53.24,,
9557,3AA8072879B9,BRACKET,53.24,,
9558,3AA823301,HINGE,53.26,,
9559,3AA823302,HINGE,53.26,,
9560,5Q0411315B,CONN LINK,53.30,,
9561,6RF820045,FRESH AIR AND HEATER CONTROLS,53.34,,
9562,036121113B,"THERMOSTAT, COOLANT",53.34,,
9563,6R0862531A82V,DRINKS HOLDER,53.34,,
9564,03L141026G,CLUTCH NEW 1.5,53.38,,
9565,6RF881405JGAP,SEAT COVER (LEATHERETTE),53.38,,
9566,6RF881406LGAP,SEAT COVER (LEATHERETTE),53.38,,
9567,03L145771AB,SUPPLY PIPE,53.41,,
9568,03D105269,FLYWHEEL,53.43,,
9569,1Z0941702C,LAURA FOG LAMP LAURA RH,53.44,,
9570,97059,"INTERCOOLER, CHARGER",53.46,,
9571,6RG857507AE9B9,HOUSING,53.48,,
9572,6R0854819B9B9,WHEEL COVER,53.51,,
9573,6R0854820B9B9,WHEEL COVER,53.51,,
9574,6RF857507E9B9,HOUSING,53.54,,
9575,6RG857508C9B9,HOUSING,53.54,,
9576,03E109507AE,TENSIONER,53.55,,
9577,1U0807717C01C,COVERSTRIP,53.60,,
9578,1KM075111,MUD FLAP,53.61,,
9579,1KM075101,MUD FLAP,53.61,,
9580,1KM061502A041,FLOORMATS,53.61,,
9581,036109244G,"DEFLECTION/GUIDE PULLEY, TIMING BELT",53.66,,
9582,3G0857643BNX1,GRABHANDLE,53.69,,
9583,02E323561C,SHAFT - OIL PUMP,53.71,,
9584,6R0121207D,COWL,53.71,,
9585,034131851B,"VALVE, EGR EXHAUST CONTROL",53.75,,
9586,5K0945087D,BRAKELIGHT,53.75,,
9587,6RG807109E,BEAM,53.80,,
9588,6R0122447AS,HOSE,53.80,,
9589,5NA075101,MUD FLAP,53.83,,
9590,1K0129684L,PIPE,53.88,,
9591,6R0413031AJ,GAS SHOCK ABSORBER,53.88,,
9592,35198493,"MAIN BEARINGS, CRANKSHAFT",53.89,,
9593,35198495,"MAIN BEARINGS, CRANKSHAFT",53.89,,
9594,6U1857501,OUTSIDE MIRROR,53.91,,
9595,2GA075101,MUD FLAP,54.00,,
9596,2GA075116,MUD FLAP,54.00,,
9597,3C8825202A,LINING,54.00,,
9598,5K0955978A,CYLINDER,54.02,,
9599,028919501C,"SENDER UNIT, COOLANT TEMPERATURE",54.03,,
9600,028919501B,"SENDER UNIT, COOLANT TEMPERATURE",54.03,,
9601,022109417E,"FINGER FOLLOWER, ENGINE TIMING",54.05,,
9602,030145933AQ,V-RIBBED BELTS,54.19,,
9603,03L145771AP,PIPE,54.19,,
9604,04L103634,TUBE,54.22,,
9605,7L6857521R,MIRROR,54.22,,
9606,7L6853318D041,TRIM,54.23,,
9607,7L6853317D041,TRIM,54.23,,
9608,5C6857521E,MIRROR,54.28,,
9609,5C0937132A,COVER,54.30,,
9610,6R0825237B,NOISE INSULATION,54.41,,
9611,022133237C,"GASKET, INTAKE MANIFOLD",54.42,,
9612,028103086C,"SHAFT SEAL, CAMSHAFT",54.42,,
9613,3C0853665A9B9,"VENTILATION GRILLE, BUMPER",54.45,,
9614,3C0853666A9B9,GRILLE,54.45,,
9615,510837811H,SUPPORT,54.47,,
9616,021121117A,COOLANT FLANGE,54.48,,
9617,028903308G,"TENSIONER LEVER, V-RIBBED BELT",54.48,,
9618,036109243AD,"TENSIONER PULLEY, TIMING BELT",54.51,,
9619,036109243AE,"TENSIONER PULLEY, TIMING BELT",54.51,,
9620,028121065A,COOLANT TUBE,54.51,,
9621,6RF959858B9B9,SWITCH FOR ELECTRIC WINDOW REGULATOR,54.54,,
9622,5K0698451B,BRK LINING,54.58,,
9623,8N1064200,1 SET PED,54.59,,
9624,8V0857819A,ADJUSTER,54.59,,
9625,6RF820045E,FRESH AIRAND HEATER CONTROLS,54.62,,
9626,6RG885805AGDTY,COVER,54.65,,
9627,5L0853633,YETI COVERSTRIP HOOD,54.67,,
9628,06L121012A,WATER PUMP,54.68,,
9629,06L121012H,WATER PUMP,54.68,,
9630,5Q0423810,TIE ROD,54.70,,
9631,03L145771AN,PIPE,54.70,,
9632,5N0839015G,LATCH,54.73,,
9633,5N0839015J,DOOR LOCK,54.73,,
9634,5N0839016J,DOOR LOCK,54.73,,
9635,8K0831401H,HINGE,54.75,,
9636,03L145771AL,OIL PIPE,54.79,,
9637,028145278M,"BELT TENSIONER, V-RIBBED BELT",54.79,,
9638,01J331133G,"BEARING, AUTOMATIC TRANSMISSION",54.82,,
9639,1Q0951223B,HORN,54.82,,
9640,5N0839016G,DOOR LOCK,54.82,,
9641,02J311269L,SYNCHRONIZER RING,54.84,,
9642,1K0035501,BASE,54.85,,
9643,5NA857537GRU,CAP,54.85,,
9644,6RF260885,BRACKET FOR A/C COMPRESSOR,54.87,,
9645,00A115121,"GEAR, OIL PUMP",54.89,,
9646,6R0945096AC,LIGHT,54.90,,
9647,1K0411315R,CONN LINK,54.98,,
9648,7L6949102C,TURNSIGNAL,54.98,,
9649,7L6949101C,TURNSIGNAL,54.98,,
9650,1K0615601AJ,BRAKE DISC,54.98,,
9651,1K0615601AC,BRAKE DISC,54.98,,
9652,021109507B,"TENSIONER, TIMING CHAIN",54.99,,
9653,022109507A,"TENSIONER, TIMING CHAIN",54.99,,
9654,5NA857643BRM5,GRABHANDLE,55.03,,
9655,3C0122157DN,RADIATOR HOSE,55.03,,
9656,1K0199855BA,SUPPORT,55.06,,
9657,5C8819403A9B9,DEFLECTOR,55.09,,
9658,028103383BH,"GASKET, CYLINDER HEAD",55.12,,
9659,028103383BJ,"GASKET, CYLINDER HEAD",55.12,,
9660,5C0615601,BRAKE DISC,55.13,,
9661,5C0615601A,BRAKE DISC,55.13,,
9662,6RU971693F,HARNESS,55.20,,
9663,6RF863413G5BW,TRIM PANEL,55.32,,
9664,1J2614106D,BRAKESERVO,55.34,,
9665,031103383P,"GASKET, CYLINDER HEAD",55.37,,
9666,030905271A,"VACUUM CELL, IGNITION DISTRIBUTOR",55.37,,
9667,02D525193,"BEARING, MANUAL TRANSMISSION",55.38,,
9668,012311220A,SUPPORT SUB-ASS,55.38,,
9669,012311375C,"BEARING, MANUAL TRANSMISSION",55.38,,
9670,1K8099300H041,MODEL CAR,55.38,,
9671,6RG807109B,SIDE REINFORCEMENT,55.43,,
9672,6RG807109C,BEAM,55.43,,
9673,03L109244G,ROLLER,55.44,,
9674,1K0412331B,MOUNTING,55.44,,
9675,6RG809421B,"SIDE PANEL, INNER",55.46,,
9676,6RG809422B,"SIDE PANEL, INNER",55.46,,
9677,1K5819403B9B9,COVER,55.46,,
9678,6R0941062D,DAYTIME RUNNING LIGHT,55.47,,
9679,028105263D,"GEAR, CRANKSHAFT",55.47,,
9680,028105263E,"GEAR, CRANKSHAFT",55.47,,
9681,035133585A,VALVE,55.49,,
9682,022109611N,EXHAUST VALVE,55.51,,
9683,01M325429,"HYDRAULIC FILTER, AUTOMATIC TRANSMISSION",55.54,,
9684,1J0609617B,BRAKE DRUM,55.54,,
9685,6RW807109C,SIDE REINFORCEMENT,55.54,,
9686,6R0698525A,1 SET: BRAKE SHOES WITHLININGS,55.54,,
9687,6RW807109A,SIDE REINFORCEMENT,55.54,,
9688,6RW807109B,SIDE REINFORCEMENT,55.54,,
9689,5Q0713128A,SWITCH,55.55,,
9690,03C145299M,BELT TENSIONING DAMPER,55.57,,
9691,WHT005651A,SENSOR,55.58,,
9692,3T0905217CWHS,SWITCH,55.60,,
9693,000051446A,ADAPTER WIRING SET FOR MULTIMEDIA INTERFACE BOX MDI,55.63,,
9694,5E0919485F,BRACKET,55.68,,
9695,5Q0615301H,BRAKE DISC,55.69,,
9696,022145276F,"DEFLECTION/GUIDE PULLEY, V-RIBBED BELT",55.72,,
9697,022145276A,"DEFLECTION/GUIDE PULLEY, V-RIBBED BELT",55.72,,
9698,1K0122051HK,WATER HOSE,55.74,,
9699,5NC9598393Q7,PUSHBUTTON,55.75,,
9700,022905100AC,IGNITION COIL,55.77,,
9701,6RG863368BKS8,FLOOR COVE,55.86,,
9702,3AA951221B,HORN,55.92,,
9703,5N0837205FGRU,"DOOR HANDLE, EXTERIOR",55.94,,
9704,000800981A,SHEET METAL PLATE,55.96,,
9705,38141032,CLUTCHDISC,55.97,,
9706,022121117C,COOLANT FLANGE,55.99,,
9707,030121117D,THERMOSTAT HOUSING,55.99,,
9708,01L321371,"SEAL, AUTOMATIC TRANSMISSION OIL PAN",56.06,,
9709,01N321370,"SEAL, AUTOMATIC TRANSMISSION OIL PAN",56.06,,
9710,WHT003859A,SENSOR,56.06,,
9711,06K109467K,TENSIONER,56.09,,
9712,028109119M,TIMING BELT,56.11,,
9713,03D906433,SENSER,56.13,,
9714,WHT003860,SENSOR,56.13,,
9715,WHT003864,SENSOR,56.13,,
9716,03D906433B,SENSOR,56.13,,
9717,036906433E,SENDER,56.13,,
9718,3AA807248D,FOAM INSER,56.14,,
9719,WHT003858B,SENSOR,56.16,,
9720,WHT003859B,SENSOR,56.16,,
9721,036109119AG,TIMING BELT,56.23,,
9722,8J0498203,BOOT,56.23,,
9723,02E301205C,COVER,56.23,,
9724,3C0145838D,CHARGER INTAKE HOSE,56.25,,
9725,0A5141671F,BEARING,56.27,,
9726,032141025L,CLUTCH PRESSURE PLATE,56.27,,
9727,0AM927377,GASKET,56.31,,
9728,3T0810773A,ACTUATOR,56.31,,
9729,030109243P,"TENSIONER PULLEY, TIMING BELT",56.33,,
9730,3C0199855B,ENGINE MOUNTING,56.33,,
9731,5N0199855F,ENGINE MOUNTING,56.33,,
9732,0A5141671P,BEARING,56.36,,
9733,5N0802068,BRACKET,56.37,,
9734,8X4833406B,HINGE,56.40,,
9735,6RF498099C,WHEELSHAFT,56.42,,
9736,03P109236,HUB,56.44,,
9737,045121011H,WATER PUMP,56.44,,
9738,02D525596C,"SHAFT SEAL, TRANSFER CASE",56.45,,
9739,26129220,"PULLDOWN CELL, CARBURETTOR",56.47,,
9740,6RW814562,CORNER REINFORCEMENT,56.47,,
9741,5C0698451B,BRK LINING,56.47,,
9742,6RF820743N,COOLANTPIP,56.50,,
9743,8K0831401S,HINGE,56.50,,
9744,3C5827550C,GASFILSTRU,56.51,,
9745,3AE827550A,GASFILSTRU,56.51,,
9746,6RF820045F,FRESH AIRAND HEATER CONTROLS,56.53,,
9747,028903119L,"PULLEY, ALTERNATOR",56.53,,
9748,6RG845011NVB,WINDSCREEN,56.54,,
9749,025251519F,"HOLDER, EXHAUST SYSTEM",56.56,,
9750,6R0711046A,GEARSHIFT LEVER,56.59,,
9751,6RG821105K,FENDER POLO T1,56.62,,
9752,6RG821106K,FENDER POLO T1,56.62,,
9753,3V0905217AWHS,SWITCH,56.62,,
9754,5N0711046C,LEVER,56.65,,
9755,3T2955410A,WIPER ARM,56.68,,
9756,6R4809588A,REINFORCEMENT FOR C - PILLAR,56.70,,
9757,5J0827566E,HANDLE,56.73,,
9758,6R0819728BCAMY,AIR VENT,56.73,,
9759,6Q0423803P,TIE ROD,56.82,,
9760,6Q0423804P,TIE ROD,56.82,,
9761,5C6853601ULM,VW SIGN,56.82,,
9762,03E103201C,VALVE,56.87,,
9763,5Q0122291T,COUPLEPIECE,56.87,,
9764,032121111BG,THERMOSTAT HOUSING,56.95,,
9765,6RG941018A,HALOGEN HEADLIGHTS,57.04,,
9766,028121053R,"BRAKE PAD SET, DISC BRAKE",57.04,,
9767,3G0853332A3Q7,MOLDING,57.06,,
9768,5C6827550A,SHOCKER LID JETTA,57.07,,
9769,3U0809958,SUPERB WHEEL HOUS SUPERB RH,57.10,,
9770,025251520F,"HOLDER, EXHAUST SYSTEM",57.10,,
9771,030109119AG,TIMING BELT,57.26,,
9772,6RF807421BGRU,COVER,57.27,,
9773,6RF807421AGRU,COVER,57.27,,
9774,6RG821106G,FENDER,57.32,,
9775,6RG821106J,FENDER,57.32,,
9776,6RG941018B,HEADLAMP,57.37,,
9777,5JF941017,HEADLAMP,57.38,,
9778,5JF941018,HEADLAMP,57.38,,
9779,5J5805588E,PANEL NEW RPAID,57.38,,
9780,5J5805588G,PANEL,57.38,,
9781,5J5805588H,PANEL,57.38,,
9782,5J5805588J,PANEL,57.38,,
9783,3C0857756DQVZ,BUCKLE,57.44,,
9784,6Q0199111K,BRACKET,57.51,,
9785,6R0199111A,BRACKET,57.51,,
9786,6R0199111C,BRACKET,57.51,,
9787,5F9947292WC4,LIGHT,57.55,,
9788,03P130303,PIPE,57.57,,
9789,03L199207A,SUPPORT,57.57,,
9790,3BD609721C,"CABLE, PARKING BRAKE",57.57,,
9791,3C0857521A,"MIRROR GLASS, OUTSIDE MIRROR",57.63,,
9792,5N0857521A,OUTSIDE MIRROR,57.63,,
9793,6R4809611B,REINFORCEMENT FOR PILLAR C,57.66,,
9794,026905271E,"VACUUM CELL, IGNITION DISTRIBUTOR",57.66,,
9795,028141035K,CLUTCH DISC,57.66,,
9796,035905271M,"VACUUM CELL, IGNITION DISTRIBUTOR",57.66,,
9797,035905271P,"VACUUM CELL, IGNITION DISTRIBUTOR",57.66,,
9798,6RU881317B82V,"SEAT FRAME TRIM, LEFT",57.66,,
9799,030145933AC,V-RIBBED BELTS,57.69,,
9800,028121053AA,RADIATOR HOSE,57.72,,
9801,5N0199855E,ENGINE MOUNTING,57.75,,
9802,510837812M,SUPPORT,57.75,,
9803,6R0805915E9B9,RETAINER,57.83,,
9804,6RF858069WMV,PANEL WITH AIR VENT,57.85,,
9805,6R2611019A,TANDEM BRAKE MASTER CYLINDER,57.88,,
9806,6RF611019,TANDEM BRAKE MASTER CYLINDER,57.91,,
9807,020911335A,"FREEWHEEL GEAR, STARTER",57.91,,
9808,6RF945112A,LIGHT,57.92,,
9809,3C1823509G,LOCK,57.92,,
9810,030957147A,"SENSOR, CRANKSHAFT PULSE; SENSOR, RPM; PULSE SENSOR, FLYWHEEL; RPM SENSOR, ENGINE MANAGEMENT",57.92,,
9811,016141719A,"RELEASE FORK, CLUTCH",57.99,,
9812,01E141165D,RELEASER,58.00,,
9813,1K0298403A,INSERT,58.08,,
9814,3C0407365A,BALL JOINT,58.08,,
9815,3T0959565AREH,SWITCH,58.13,,
9816,3AA807248C,FOAM INSER,58.16,,
9817,6RW814561,CORNER REINFORCEMENT,58.17,,
9818,3C0407366A,BALL JOINT,58.17,,
9819,030109119S,TIMING BELT,58.19,,
9820,5N0145838,CHARGER INTAKE HOSE,58.19,,
9821,6R4809612A,REINFORCEM,58.22,,
9822,518837812L,SUPPORT,58.22,,
9823,6R4809612B,REINFORCEM,58.22,,
9824,5Q0698451E,BRK LINING,58.30,,
9825,6RF498099B,OUTER JOINT WITH ASSEMBLY PARTS,58.31,,
9826,6R0805072E,MOUNTING,58.33,,
9827,02T311206E,MOUNTING WITH GROOFED BALLBEARING,58.34,,
9828,3C0201293C,FUEL LINE,58.42,,
9829,3C0201294A,FUEL LINE,58.42,,
9830,3AA807571,PIECE,58.50,,
9831,3C0825202G,LINING,58.51,,
9832,5C6018965,RETAINER,58.54,,
9833,3C8857537GRU,CAP,58.57,,
9834,3C8857538GRU,CAP,58.57,,
9835,3C0857538AGRU,CAP,58.57,,
9836,5Q0721261D,CYLINDER,58.59,,
9837,03L121132F,FLANGE,58.61,,
9838,030905271B,"VACUUM CELL, IGNITION DISTRIBUTOR",58.61,,
9839,036905271G,"VACUUM CELL, IGNITION DISTRIBUTOR",58.61,,
9840,3B7955681,PUMP,58.64,,
9841,6R0612041M,VACUUM PIPE WITHNON - RETURN VALVE,58.64,,
9842,4387143,SIDEWALL,58.67,,
9843,030121008D,WATER PUMP,58.68,,
9844,6Q0721261E,SLAVE CYLINDER,58.71,,
9845,030109243L,"TENSIONER PULLEY, TIMING BELT",58.73,,
9846,6R4837205B3FZ,"DOOR HANDLE, EXTERIOR",58.73,,
9847,3U0809957,SUPERB FENDER LINING LH,58.82,,
9848,030198151E,PISTON RING KIT,58.82,,
9849,1K0837885A,SUPPORT,58.90,,
9850,3C0837885J,SUPPORT,58.90,,
9851,3C0837886J,SUPPORT,58.90,,
9852,3C0199855L,ENGINE MOUNTING,58.92,,
9853,1K0927903L,HARNESS,58.95,,
9854,3BD609722,"CABLE, PARKING BRAKE",58.96,,
9855,7P6951223C,HORN,58.96,,
9856,6C0199111D,BRACKET,58.99,,
9857,6U0615125A,"CARRIER, BRAKE CALIPER",59.01,,
9858,03C145299C,BELTDAMPER,59.07,,
9859,02F311295C,RING,59.10,,
9860,02F311295M,RING,59.10,,
9861,02A311514A,SUPPORT,59.13,,
9862,6RU821106C,FENDER,59.13,,
9863,3C0857537AGRU,"COVER, EXTERNAL MIRROR HOLDER",59.13,,
9864,3B7955409,"WIPER ARM, WINDSCREEN WASHER",59.21,,
9865,21127201,"REPAIR KIT, FUEL PUMP",59.23,,
9866,6R0145828,CONNECTING HOSE,59.23,,
9867,000051446B,ADAPTER WIRING SET FOR MULTIMEDIA INTERFACE BOX MDI,59.24,,
9868,5C6075101,MUD FLAP,59.26,,
9869,6R0951221B,SIGNAL HORN,59.30,,
9870,6R0951223B,SIGNAL HORN,59.30,,
9871,1K0823359A,GASFILSTRU,59.30,,
9872,3AA823359A,GASFILSTRU,59.30,,
9873,3C0823359A,"GAS SPRING, BONNET",59.30,,
9874,567955410,WIPER ARM,59.32,,
9875,02D525275B,SEAL,59.32,,
9876,022145299H,"TENSIONER LEVER, V-RIBBED BELT",59.32,,
9877,3Q0615601A,BRAKE DISC,59.33,,
9878,002945415D,"SWITCH, REVERSE LIGHT",59.38,,
9879,3T08537532ZZ,SUPERB STRIP,59.50,,
9880,6R0201293,FUEL LINE,59.60,,
9881,02D409339,SLEEVE,59.63,,
9882,02D525083,COVER,59.63,,
9883,02C409339B,SLEEVE,59.63,,
9884,02D525083A,COVER,59.63,,
9885,03L103383CT,GASKET,59.64,,
9886,3C0253683N,EXHAUST PIPE,59.69,,
9887,6RF867012LDDW,TRIM,59.71,,
9888,6RF867011LDDW,TRIM,59.72,,
9889,6RG857508AK9B9,HOUSING,59.74,,
9890,6RG857508AR9B9,HOUSING,59.74,,
9891,6RU821106,"WING, RIGHT",59.74,,
9892,03L131055DH,HOSE,59.75,,
9893,1K0962125BREH,SWITCH,59.80,,
9894,3C0035454,WOOFER,59.83,,
9895,03P131521B,CONNECTING PIPE,59.86,,
9896,03L141032E,CLUTCHDISC POLO DIESEL,59.88,,
9897,5K0951223,HORN,59.92,,
9898,03L130321Q,PIPE,59.94,,
9899,1K0941333DREH,RHEOSTAT,59.95,,
9900,6RG821105J,FENDER,59.97,,
9901,6RG821106H,FENDER,59.97,,
9902,026109243M,"TENSIONER PULLEY, TIMING BELT",60.00,,
9903,028103171B,"SHAFT SEAL, CRANKSHAFT; SHAFT SEAL, CAMSHAFT",60.02,,
9904,6RG857507D9B9,HOUSING,60.02,,
9905,1K0260839,VALVE,60.03,,
9906,6Q0820193B,DRIER,60.03,,
9907,3C28194039B9,DEFLECTOR,60.05,,
9908,3C2819404B9B9,DEFLECTOR,60.05,,
9909,6RG898665L,VENT,60.06,,
9910,6RG898665K,VENT,60.06,,
9911,5L0853264041,LINING,60.08,,
9912,02M311277,RING,60.09,,
9913,03P130321,PIPE,60.12,,
9914,03L130321F,PIPE,60.12,,
9915,3G2867180A81U,HANDLE,60.19,,
9916,6RF853651ARYP,RADIATOR GRILLE,60.22,,
9917,6RF853651CRYP,GRILLE,60.22,,
9918,6RG853651BRYP,RADIATOR GRILLE,60.22,,
9919,021103609B,"GASKET, WET SUMP",60.28,,
9920,030121117N,COOLANT FLANGE,60.28,,
9921,030121117L,THERMOSTAT HOUSING,60.28,,
9922,6RG867911G5AP,DOOR SEAL,60.33,,
9923,6RG867912G5AP,DOOR SEAL,60.33,,
9924,038906051B,PRESSSENS,60.34,,
9925,03G906051D,PRESSSENS,60.34,,
9926,059130241BT,PIPE,60.36,,
9927,028109123H,COVER BELT,60.39,,
9928,3C0837886H,SUPPORT,60.42,,
9929,3BD609721E,"CABLE, PARKING BRAKE",60.42,,
9930,1KM07102AIND,CAR COVERJETTA - DU PONT,60.43,,
9931,3C8971584E,HARNESS,60.50,,
9932,1K0906283A,VALVE,60.51,,
9933,001927321A,"SENSOR, SPEED",60.51,,
9934,6RG845011ANVB,WINDSHIELD,60.51,,
9935,6RF813301A,CROSS PANEL,60.51,,
9936,5N0839015R,LATCH,60.53,,
9937,032121065D,COOLANT TUBE,60.53,,
9938,3C0927225CREH,BUTTON,60.54,,
9939,979996,HOSE,60.54,,
9940,6R0827505D9B9,LATCH,60.59,,
9941,6RF813301,END PLATE,60.61,,
9942,6RW827301,LID HINGE,60.62,,
9943,6RW827302,LID HINGE,60.62,,
9944,7L6857522AJ,MIRROR,60.62,,
9945,7110119,DRIVE SHAFT,60.62,,
9946,311123,CATALYTIC CONVERTER,60.64,,
9947,6RG863920C,INSULATION FOR FLOOR,60.64,,
9948,3C0971230FK,HARNESS,60.67,,
9949,6RG809405A,"SIDE PANEL, INNER",60.67,,
9950,6RG809406A,"SIDE PANEL, INNER",60.67,,
9951,002301211F,"FLANGE LID, MANUAL TRANSMISSION",60.67,,
9952,02E325201D,COVER,60.67,,
9953,6R0122051BA,HOSE,60.67,,
9954,6R2721465K,TUBE-/HOSE LINE,60.70,,
9955,000979243EC,SINGL.LEAD,60.73,,
9956,035103221R,RADIATOR HOSE,60.73,,
9957,6Q0947105MEH6,LIGHT,60.76,,
9958,6U0407615,WHEEL HUB,60.79,,
9959,6R0858559C82V,COVER FOR STEERING COLUMN,60.79,,
9960,1J0721261M,CYLINDER,60.81,,
9961,6R2723142,BRAKE PEDAL,60.82,,
9962,1K0412331C,MOUNTING,60.82,,
9963,07K905715G,IGNIT.COIL,60.85,,
9964,07K905715F,IGNIT.COIL,60.85,,
9965,5Q0615601G,BRAKE DISC,60.88,,
9966,1K0615601AD,BRAKE DISC,60.88,,
9967,3C0862531D1QB,HOLDER,60.90,,
9968,3G2061502A82V,FOOTMATS,60.92,,
9969,04L109243G,TENSIONER,61.02,,
9970,04L109243K,TENSIONER,61.02,,
9971,036103383Q,"GASKET, CYLINDER HEAD",61.05,,
9972,5NC927225AICX,SWITCH,61.07,,
9973,5Q0615601D,BRAKE DISC,61.07,,
9974,1K0615601AA,BRAKE DISC,61.07,,
9975,035903119D,"PULLEY, ALTERNATOR",61.09,,
9976,012141180B,SLEEVE,61.09,,
9977,03P131605,PIPE,61.13,,
9978,3B5035112B,BRACKET DOOR,61.16,,
9979,6R0121207C,FAN RING,61.16,,
9980,6R2612041R,VACUUM PIPE,61.16,,
9981,6RF881406LWLW,SEAT COVER (LEATHERETTE),61.16,,
9982,6RF881406TWLW,SEAT COVER (LEATHERETTE),61.16,,
9983,6RU959858C9B9,SWITCH FOR ELECTRIC WINDOW REGULATOR,61.24,,
9984,030198153A,PISTON RING KIT,61.24,,
9985,3C0122051CK,WATER HOSE,61.26,,
9986,6R0937548C,FUSE SOCKET,61.27,,
9987,3Q0615601,BRAKE DISC,61.29,,
9988,030129220C,"PULLDOWN CELL, CARBURETTOR",61.30,,
9989,000979027EC,SINGL.LEAD,61.35,,
9990,5658076119B9,PLATE,61.35,,
9991,5N0805911A,"PANELLING, MUDGUARD",61.38,,
9992,5N0805911C,"PANELLING, MUDGUARD",61.38,,
9993,5N0805912A,"PANELLING, MUDGUARD",61.38,,
9994,5N0805912C,"PANELLING, MUDGUARD",61.38,,
9995,3C0145834G,CHARGER INTAKE HOSE,61.38,,
9996,3B7955410,"WIPER ARM, WINDSCREEN WASHER",61.41,,
9997,1KD971658,HARNESS,61.50,,
9998,02F311295K,RING,61.50,,
9999,02F311295N,RING,61.50,,
10000,6R0937548F,FUSE BOX,61.55,,
10001,02B911209,"HOLDER, CARBON BRUSHES",61.57,,
10002,1K0959565LREH,SWITCH,61.60,,
